Date;Time Survived;Score;Straight Spawns;Straight Kills;Chaser Spawns;Chaser Kills;Round Spawns;Round Kills;Boomerang Spawns;Boomerang Kills;PowerUp Spawns;PowerUp Got;PowerDown Spawns;PowerDown Got;SpeedUp Spawns;SpeedUp Got;SpeedDown Spawns;SpeedDown Got;Straight Difficulty;Straight Speed;Chaser Difficulty;Chaser Speed;Chaser HP;Round Difficulty;Round Bullet Speed;Round Prepare Time;Boomerang Difficulty;Boomerang Bullet Speed;Boomerang Prepare Time;Item1;Item2;Item3;Item4;PlayerDamage;
7/3/2018 12:34:41 AM;32.986;4930;2;2;2;1;8;6;7;1;2;1;0;0;1;1;2;0;0.1904762;1.7;0.2857142;0.7;5;0.3793104;5;0.7;0.2954546;5;0.8;1;1;1;1;1;
7/3/2018 12:35:00 AM;17.60806;4340;5;4;4;4;5;3;6;3;1;1;1;1;0;0;0;0;0.1904762;1.7;0.2857142;0.7;5;0.3793104;5;0.7;0.2954546;5;0.8;1;1;1;1;1;
7/3/2018 12:35:45 AM;44.11186;11205;9;8;14;14;13;10;6;6;2;1;1;0;3;3;1;0;0.1904762;1.7;0.2857142;0.7;5;0.3793104;5;0.7;0.2954546;5;0.8;1;1;1;1;1;
7/3/2018 12:36:17 AM;29.64234;7200;11;7;5;5;5;4;12;6;3;2;0;0;1;1;0;0;0.1904762;1.7;0.2857142;0.7;5;0.3793104;5;0.7;0.2954546;5;0.8;1;1;1;1;1;
7/3/2018 12:36:57 AM;37.82914;10160;9;6;11;11;8;6;14;9;4;4;0;0;2;2;0;0;0.1904762;1.7;0.2857142;0.7;5;0.3793104;5;0.7;0.2954546;5;0.8;1;1;1;1;1;
7/3/2018 12:37:54 AM;54.50894;11445;15;12;11;11;9;6;13;4;4;3;2;0;3;3;0;0;0;1.02;0.3367346;0.735;5.25;0.6896552;7.25;1.015;0.3636364;5.75;0.92;0.7;4.97;0.7;5.1;0.7;
7/3/2018 12:38:19 AM;23.42144;4350;1;1;6;5;5;3;3;1;1;0;0;0;2;1;0;0;0;1.02;0;0.504;3.6;1;9.5;1.33;0.5909091;8.25;1.32;0.7;5.1;0.7;5.1;0.7;
7/3/2018 12:38:51 AM;29.99984;4855;2;0;7;6;5;4;5;0;0;0;0;0;4;4;0;0;0.02380953;1.105;0;0.504;3.6;0.3793104;5;0.7;0.5;7.25;1.16;0.7;5.1;0.7;5.1;0.7641921;
7/3/2018 12:39:40 AM;44.88809;10420;10;9;14;12;11;11;14;4;2;2;0;0;5;5;0;0;0.09523812;1.36;0;0.504;3.6;0.6896552;7.25;1.015;0.3181818;5.25;0.84;0.7;5.1;0.7;5.1;1.263127;
